Node,Load of node by messages routed
1431177563734596495812438255040022232969503721190,28387
1372436239532049454312201944239109013654749081346,27994
754509419069928622829025060762008359219607619998,33824
921924121285221394697783067904111551165875359897,30728
343139431371737109719911095383001852260744517285,33985
393761697435302188795348735280688940324629797363,35911
1225204646592663680857175084722455286544891131369,27272
627784937924401347248565095647135034962075050332,34201
693379664611310540538939194418579603434453765976,35371
1302757149468507215508225333358596222546158391050,28751
788260524243626803816934831770154804114355633308,34454
1231503937217915923301781700135545547935383980978,27607
171486254395801691252287399265261833787275607051,29453
10025862264032094788501172745892054175031994043,30053
1457031840543334172439705674259586260322405903443,29693
384437177864726812224575661167819630952499551005,34360
1274626492721620121320754730067472099229986975680,28744
778888277994957969238848792942306721618016365882,33692
262556816784891089139900228636491618102121337505,33024
1071959237464586021630289903792391976574484086156,30243
1319341426536727493301071026633935749844675608027,29504
1125360737064851571087229231158503285099592682250,28174
428360408300006133524586972263258848591115385510,35561
640063176118014771650346501235930369373829068824,34390
385659358640938309857944566712301665138294373988,34965
956815650299910074780962295821698805623520024924,30375
253441869308165678056417004424959737101274902968,32677
